year,month,airport,passengers,departures,arrivals
2015,11,IXZ,75215,38045,37170
2015,11,JAI,223023,108525,114498
2015,11,JDH,25831,12563,13268
2015,11,JGA,7887,3886,4001
2015,11,JLR,20386,10000,10386
2015,11,JRH,4364,2178,2186
2015,11,KUU,1637,749,888
2015,11,LKO,229694,108495,121199
2015,11,MAA,860052,435944,424108
2015,11,MYQ,215,155,60
2015,11,NAG,132799,66023,66776
2015,11,PAT,141869,65041,76828
2015,11,PBD,1416,710,706
2015,11,PGH,908,429,479
2015,11,PNQ,432998,219954,213044
2015,11,RAJ,35529,16696,18833
2015,11,RJA,19253,9625,9628
2015,11,RPR,103349,51335,52014
2015,11,SHL,1274,670,604
2015,11,STV,10845,5376,5469
2015,11,SXR,148357,79430,68927
2015,11,TCR,7652,3744,3908
2015,11,TEZ,175,91,84
2015,11,TIR,32480,15961,16519
2015,11,TRV,99318,50596,48722
2015,11,TRZ,12091,5702,6389
2015,11,UDR,79632,38999,40633
2015,11,VGA,32433,16792,15641
2015,11,VNS,142019,66499,75520
2015,11,VTZ,138215,68868,69347
2015,12,AGR,1282,307,975
2015,12,AGX,1719,866,853
2015,12,AJL,12416,5722,6694
2015,12,AMD,517777,254300,263477
2015,12,ATQ,86113,41893,44220
2015,12,BBI,175496,85851,89645
2015,12,BDQ,90163,43847,46316
2015,12,BHJ,13932,7236,6696
2015,12,BHO,67235,34491,32744
2015,12,BHU,3440,1647,1793
2015,12,BLR,1423332,712098,711234
2015,12,BOM,2750851,1360719,1390132
2015,12,CCJ,33228,15564,17664
2015,12,CCU,983105,486033,497072
2015,12,CJB,130697,64783,65914
2015,12,COK,300772,142750,158022
2015,12,DED,33571,17064,16507
2015,12,DEL,3164230,1645920,1518310
2015,12,DGH,806,445,361
2015,12,DHM,6751,3351,3400
2015,12,DIB,28314,13663,14651
2015,12,DIU,3670,1748,1922
2015,12,DMU,12085,5634,6451
2015,12,GAU,256789,125184,131605
2015,12,GAY,7752,3680,4072
2015,12,GOI,467019,224963,242056
2015,12,GWL,270,155,115
2015,12,HBX,4786,2307,2479
2015,12,HJR,7225,4089,3136
2015,12,HYD,898655,440565,458090
2015,12,IDR,152429,77523,74906
2015,12,IMF,68910,33543,35367
2015,12,IXA,86061,43420,42641
2015,12,IXB,101678,50435,51243
2015,12,IXC,117401,59465,57936
2015,12,IXD,3727,1866,1861
2015,12,IXE,82588,39834,42754
2015,12,IXG,12858,6366,6492
2015,12,IXI,426,220,206
2015,12,IXJ,102526,49856,52670
2015,12,IXL,15700,9732,5968
2015,12,IXM,48201,23417,24784
2015,12,IXR,71125,35351,35774
2015,12,IXS,16133,7869,8264
2015,12,IXU,26933,13650,13283
2015,12,IXZ,74175,35869,38306
2015,12,JAI,241633,122673,118960
2015,12,JDH,27372,13788,13584
2015,12,JGA,8464,4240,4224
2015,12,JLR,3254,1628,1626
2015,12,JRH,4338,2110,2228
2015,12,KUU,1563,684,879
2015,12,LKO,230544,117876,112668
2015,12,MAA,707667,344657,363010
2015,12,NAG,147213,73239,73974
2015,12,PAT,129647,65546,64101
2015,12,PBD,1445,803,642
2015,12,PGH,566,272,294
2015,12,PNQ,455198,225479,229719
2015,12,RAJ,38357,18707,19650
2015,12,RJA,21707,10917,10790
2015,12,RPR,112096,57060,55036
2015,12,SHL,476,245,231
2015,12,STV,12328,5779,6549
2015,12,SXR,164438,87759,76679
2015,12,TCR,6593,3165,3428
2015,12,TEZ,354,167,187
2015,12,TIR,35709,17727,17982
2015,12,TRV,106300,52287,54013
2015,12,TRZ,9745,4570,5175
2015,12,UDR,88401,43863,44538
2015,12,VGA,34188,16909,17279
2015,12,VNS,137483,70635,66848
2015,12,VTZ,158313,76796,81517
2016,1,AGR,1508,392,1116
2016,1,AGX,1813,960,853
2016,1,AJL,12829,6900,5929
2016,1,AMD,529375,267924,261451
2016,1,ATQ,82521,38539,43982
2016,1,BBI,177623,90253,87370
2016,1,BDQ,87036,44619,42417
2016,1,BHJ,13185,6985,6200
2016,1,BHO,61424,32003,29421
2016,1,BHU,3575,1841,1734
2016,1,BLR,1366678,680594,686084
2016,1,BOM,2677418,1341805,1335613
2016,1,CCJ,33500,16836,16664
2016,1,CCU,969271,478226,491045
2016,1,CJB,137046,69372,67674
2016,1,COK,308256,155932,152324
2016,1,DED,34610,17435,17175
2016,1,DEL,3046851,1487453,1559398
2016,1,DGH,1182,672,510
2016,1,DHM,6173,3118,3055
2016,1,DIB,26508,13395,13113
2016,1,DIU,3040,1506,1534
2016,1,DMU,10457,5776,4681
2016,1,GAU,250828,124837,125991
2016,1,GAY,7413,3627,3786
2016,1,GOI,485431,250218,235213
2016,1,GOP,442,184,258
2016,1,GWL,1182,607,575
2016,1,HBX,4916,2586,2330
2016,1,HJR,8573,4829,3744
2016,1,HYD,873626,440472,433154
2016,1,IDR,147130,75914,71216
2016,1,IMF,63149,35651,27498
